,datatype,station,attributes,value
2023-01-28T00:00:00,TMAX,GHCND:CI000085799,",,S,",237
2023-01-28T00:00:00,TMAX,GHCND:CIM00085418,",,S,",275
2023-01-29T00:00:00,TMAX,GHCND:CI000085442,",,S,",222
2023-01-30T00:00:00,TMAX,GHCND:CI000085442,",,S,",223
2023-01-30T00:00:00,TMAX,GHCND:CI000085629,",,S,",344
2023-01-30T00:00:00,TMAX,GHCND:CI000085743,",,S,",263
2023-01-30T00:00:00,TMAX,GHCND:CI000085799,",,S,",247
2023-01-30T00:00:00,TMAX,GHCND:CI000085874,",,S,",251
2023-01-30T00:00:00,TMAX,GHCND:CI000085934,",,S,",175
2023-01-30T00:00:00,TMAX,GHCND:CIM00085418,",,S,",262
2023-01-30T00:00:00,TMAX,GHCND:CIM00085574,",,S,",329
2023-01-30T00:00:00,TMAX,GHCND:CIM00085577,",,S,",328
2023-01-30T00:00:00,TMAX,GHCND:CIM00085682,",,S,",242
2023-01-30T00:00:00,TMAX,GHCND:CIM00085766,",,S,",308
2023-01-30T00:00:00,TMAX,GHCND:CIM00085782,",,S,",283
2023-01-30T00:00:00,TMAX,GHCND:CIM00085864,",,S,",259
2023-01-31T00:00:00,TMAX,GHCND:CI000085629,",,S,",331
2023-01-31T00:00:00,TMAX,GHCND:CI000085743,",,S,",271
2023-01-31T00:00:00,TMAX,GHCND:CI000085799,",,S,",193
2023-01-31T00:00:00,TMAX,GHCND:CIM00085418,",,S,",262
2023-01-31T00:00:00,TMAX,GHCND:CIM00085574,",,S,",318
2023-01-31T00:00:00,TMAX,GHCND:CIM00085577,",,S,",318
2023-02-01T00:00:00,TMAX,GHCND:CI000085442,",,S,",233
2023-02-01T00:00:00,TMAX,GHCND:CI000085488,",,S,",225
2023-02-01T00:00:00,TMAX,GHCND:CI000085629,",,S,",335
2023-02-01T00:00:00,TMAX,GHCND:CIM00085682,",,S,",225
2023-02-02T00:00:00,TMAX,GHCND:CI000085442,",,S,",234
2023-02-02T00:00:00,TMAX,GHCND:CI000085488,",,S,",232
2023-02-02T00:00:00,TMAX,GHCND:CI000085629,",,S,",329
2023-02-02T00:00:00,TMAX,GHCND:CI000085874,",,S,",226
2023-02-02T00:00:00,TMAX,GHCND:CIM00085418,",,S,",283
2023-02-02T00:00:00,TMAX,GHCND:CIM00085864,",,S,",238
2023-02-03T00:00:00,TMAX,GHCND:CI000085469,",,S,",290
2023-02-03T00:00:00,TMAX,GHCND:CI000085799,",,S,",236
2023-02-03T00:00:00,TMAX,GHCND:CI000085934,",,S,",205
2023-02-04T00:00:00,TMAX,GHCND:CI000085469,",,S,",281
2023-02-04T00:00:00,TMAX,GHCND:CI000085629,",,S,",350
2023-02-04T00:00:00,TMAX,GHCND:CI000085934,",,S,",206
2023-02-04T00:00:00,TMAX,GHCND:CIM00085574,",,S,",339
2023-02-04T00:00:00,TMAX,GHCND:CIM00085577,",,S,",337
2023-02-04T00:00:00,TMAX,GHCND:CIM00085864,",,S,",293
2023-02-05T00:00:00,TMAX,GHCND:CI000085442,",,S,",260
2023-02-05T00:00:00,TMAX,GHCND:CI000085488,",,S,",225
2023-02-05T00:00:00,TMAX,GHCND:CI000085629,",,S,",329
2023-02-05T00:00:00,TMAX,GHCND:CI000085799,",,S,",253
2023-02-05T00:00:00,TMAX,GHCND:CI000085874,",,S,",285
2023-02-05T00:00:00,TMAX,GHCND:CIM00085418,",,S,",286
2023-02-05T00:00:00,TMAX,GHCND:CIM00085574,",,S,",328
2023-02-05T00:00:00,TMAX,GHCND:CIM00085577,",,S,",320
2023-02-05T00:00:00,TMAX,GHCND:CIM00085766,",,S,",381
2023-02-05T00:00:00,TMAX,GHCND:CIM00085782,",,S,",330
2023-02-05T00:00:00,TMAX,GHCND:CIM00085864,",,S,",303
2023-02-06T00:00:00,TMAX,GHCND:CI000085442,",,S,",250
2023-02-06T00:00:00,TMAX,GHCND:CI000085488,",,S,",231
2023-02-06T00:00:00,TMAX,GHCND:CI000085743,",,S,",298
2023-02-06T00:00:00,TMAX,GHCND:CI000085799,",,S,",229
2023-02-06T00:00:00,TMAX,GHCND:CI000085874,",,S,",214
2023-02-06T00:00:00,TMAX,GHCND:CIM00085418,",,S,",287
2023-02-06T00:00:00,TMAX,GHCND:CIM00085782,",,S,",282
2023-02-06T00:00:00,TMAX,GHCND:CIM00085864,",,S,",228
2023-02-07T00:00:00,TMAX,GHCND:CI000085442,",,S,",237
2023-02-07T00:00:00,TMAX,GHCND:CI000085469,",,S,",276
2023-02-08T00:00:00,TMAX,GHCND:CI000085469,",,S,",284
2023-02-09T00:00:00,TMAX,GHCND:CI000085743,",,S,",303
2023-02-09T00:00:00,TMAX,GHCND:CI000085874,",,S,",226
2023-02-09T00:00:00,TMAX,GHCND:CIM00085672,",,S,",345
2023-02-09T00:00:00,TMAX,GHCND:CIM00085782,",,S,",306
2023-02-10T00:00:00,TMAX,GHCND:CI000085442,",,S,",235
2023-02-11T00:00:00,TMAX,GHCND:CI000085488,",,S,",236
2023-02-11T00:00:00,TMAX,GHCND:CI000085629,",,S,",349
2023-02-11T00:00:00,TMAX,GHCND:CI000085799,",,S,",241
2023-02-11T00:00:00,TMAX,GHCND:CI000085874,",,S,",181
2023-02-11T00:00:00,TMAX,GHCND:CI000085934,",,S,",198
2023-02-11T00:00:00,TMAX,GHCND:CIM00085418,",,S,",269
2023-02-11T00:00:00,TMAX,GHCND:CIM00085574,",,S,",344
2023-02-11T00:00:00,TMAX,GHCND:CIM00085672,",,S,",339
2023-02-11T00:00:00,TMAX,GHCND:CIM00085682,",,S,",235
2023-02-11T00:00:00,TMAX,GHCND:CIM00085766,",,S,",248
2023-02-11T00:00:00,TMAX,GHCND:CIM00085782,",,S,",248
2023-02-11T00:00:00,TMAX,GHCND:CIM00085864,",,S,",201
2023-02-12T00:00:00,TMAX,GHCND:CI000085488,",,S,",233
2023-02-12T00:00:00,TMAX,GHCND:CI000085629,",,S,",340
2023-02-12T00:00:00,TMAX,GHCND:CI000085743,",,S,",280
2023-02-12T00:00:00,TMAX,GHCND:CI000085799,",,S,",230
2023-02-12T00:00:00,TMAX,GHCND:CI000085874,",,S,",186
2023-02-12T00:00:00,TMAX,GHCND:CI000085934,",,S,",147
2023-02-12T00:00:00,TMAX,GHCND:CIM00085418,",,S,",270
2023-02-12T00:00:00,TMAX,GHCND:CIM00085574,",,S,",345
2023-02-12T00:00:00,TMAX,GHCND:CIM00085577,",,S,",348
2023-02-12T00:00:00,TMAX,GHCND:CIM00085672,",,S,",331
2023-02-12T00:00:00,TMAX,GHCND:CIM00085766,",,S,",250
2023-02-12T00:00:00,TMAX,GHCND:CIM00085782,",,S,",250
2023-02-12T00:00:00,TMAX,GHCND:CIM00085864,",,S,",167
2023-02-14T00:00:00,TMAX,GHCND:CI000085442,",,S,",250
2023-02-14T00:00:00,TMAX,GHCND:CI000085743,",,S,",229
